date,datatype,station,attributes,value
2022-05-18,TMIN,GHCND:USW00014732,",,W,2400",139
2022-05-19,PRCP,GHCND:USW00014732,",,W,2400",183
2022-05-19,TMAX,GHCND:USW00014732,",,W,2400",200
2022-05-19,TMIN,GHCND:USW00014732,",,W,2400",128
2022-05-20,PRCP,GHCND:USW00014732,",,W,2400",112
2022-05-20,TMAX,GHCND:USW00014732,",,W,2400",200
2022-05-20,TMIN,GHCND:USW00014732,",,W,2400",122
2022-05-21,PRCP,GHCND:USW00014732,",,W,2400",0
2022-05-21,TMAX,GHCND:USW00014732,",,W,2400",328
2022-05-21,TMIN,GHCND:USW00014732,",,W,2400",144
2022-05-22,PRCP,GHCND:USW00014732,",,W,2400",0
2022-05-22,TMAX,GHCND:USW00014732,",,W,2400",333
2022-05-22,TMIN,GHCND:USW00014732,",,W,2400",217
2022-05-23,PRCP,GHCND:USW00014732,"T,,W,2400",0
2022-05-23,TMAX,GHCND:USW00014732,",,W,2400",228
2022-05-23,TMIN,GHCND:USW00014732,",,W,2400",167
2022-05-24,PRCP,GHCND:USW00014732,"T,,W,2400",0
2022-05-24,TMAX,GHCND:USW00014732,",,W,2400",183
2022-05-24,TMIN,GHCND:USW00014732,",,W,2400",144
